,all,l,h
0,3.967188727966768,3.9955432372505544,3.6536404494382024
1,,3.8961787709497204,3.7880396475770923
2,,4.05776404494382,3.8672494432071267
3,,4.161843575418994,3.7673162583518933
4,,4.358050941306755,3.40607424071991
5,,4.270885935769657,3.816770601336303
6,,4.055230078563412,4.127403314917127
7,,3.5100111731843575,4.19860956618465
8,,3.958748590755355,3.8732925472747497
9,,4.0014031180400895,4.05140134529148
10,,3.9114301801801803,4.36471238938053
11,,4.230177777777778,3.9649043869516314
12,,3.9648603351955307,4.202938547486034
13,,3.97,4.314352678571429
14,,4.0507486033519555,4.114645232815964
15,,3.970614525139665,4.205370985603544
16,,4.131620111731844,4.016592178770949
17,,4.042890365448505,4.071854748603352
18,,4.076522222222222,4.046889140271493
19,,3.998322072072072,4.134762430939226
20,,3.8701672240802676,3.9840333333333335
21,,3.793467112597547,4.117272727272727
22,,4.017530454042082,4.0103914988814315
23,,3.9569101123595503,3.9463941769316913
24,,3.9709312638580934,3.923608938547486
25,,3.8726174496644292,4.111748878923767
26,,3.993022222222222,4.041091113610799
